fremdsprache,deutsch,deklination,lektion,richtig,falsch
ludere,spielen,,2,6,0
fortuna,das Schicksal das Glück,,2,3,5
malus,schlecht,a um,2,6,0
bonus,gut,a um,2,6,0
capere,packen erobern nehmen erhalten,,2,1,7
gladius,Schwert,,2,1,5
occidere,töten,,2,3,3
periculum,die Gefahr,,2,6,0
solum,nur,,2,6,0
a ab,von,b Abl d Trennung,2,0,13
itaque,deshalb,,2,6,0
verus,wahr,a um,2,5,1
vera,etwas Wahres die Wahrheit,n Pl,2,6,0
undique,von allen Seiten von überall her,,3,6,17
varius,verschieden bunt vielfältig,a um,3,15,5
vir,der Mann,i m.,3,15,0
femina,die Frau,ae f.,3,14,1
se,sich,,3,7,12
exercere,üben trainieren,,3,14,0
magnus,groß,a um,3,13,1
aqua,das Wasser,ae f.,3,17,0
salire,springen,,3,16,2
numquam,nie,,3,17,0
tacere,schweigen,,3,15,15
clamare,rufen,,3,20,8
cogere,zusammentreiben versammeln zwingen,,3,8,23
optimus,der Beste sehr gut,a um,3,17,9
emere,kaufen,,3,21,4
tibi,dir,,3,21,1
duo,zwei,duae duo,3,21,0
dare,geben,,3,13,5
filius,der Sohn,i m.,3,14,0
filia,die Tochter,ae f.,3,14,0
pulcher,schön,ra rum,3,9,8
subito,plötzlich,,3,15,1
toga,die Toga,ae f.,3,13,0
tenere,halten haben,,3,9,8
animus,der Geist der Sinn die Gesinnung das Herz der Mut,i m.,3,4,17
studium,der Eifer das Interesse die Beschäftigung,i n.,3,1,10
philosophus,der Philosoph,i m.,3,10,0
silentium,die Stille das Schweigen,i n.,3,7,4
necessarius,notwendig nahestehend verwandt,a um,3,0,14
Romanus,romisch Subst der Romer,a um,3,0,13
placere,gefallen,,3,2,8
homo,der Mensch der Mann,hominis m.,4,23,3
humanus,menschlich gebildet,a um,4,19,6
senex,der alte Mann,senis m.,4,20,5
iuvenis,der junge Mann die junge Frau jung,iuvenis m f.,4,15,10
spectare,betrachten anschauen,,4,21,3
oculus,das Auge,i m.,4,20,3
ingens,riesig,ingentis,4,15,9
vox,die Stimme,vocis f.,4,22,1
populus,das Volk,i m.,4,23,0
cur,warum,,4,21,3
currere,laufen eilen,,4,15,10
ferrum,das Eisen die Waffe das Schwert,i n.,4,19,6
vulnus,die Wunde,vulneris n.,4,21,4
fugere,fliehen vor,mit Akk.,4,14,11
occidere,sterben,,4,20,4
mors,der Tod,mortis f.,4,12,6
mortuus,tot,,4,14,4
timere,fürchten,,4,8,10
pugna,der Kampf die Schlacht,ae f.,4,11,7
acer,scharf heftig,acris acre,4,12,6
unus,ein einziger allein,,4,6,10
cadere,fallen,,4,5,11
non iam,nicht mehr,,4,12,3
movere,bewegen beeindrucken,,4,10,6
nomen,der Name,nominis n.,4,12,4
victor,der Sieger,victoris m.,4,11,1
caedes,der Mord das Blutbad,caedis f.,4,3,11
tegere,bedecken schützen,,4,1,13
posse,können,,4,4,9
pellere,stoßen schlagen vertreiben,,4,1,12
repellere,zurückstoßen,,4,7,1
totus,ganz,a um,4,4,5
